time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,-0.000010,-0.000002,-0.001954
0.010000,-0.000000,-0.000010,-0.000027,-0.001286
0.015000,-0.000000,-0.000020,-0.000092,-0.000497
0.020000,-0.000001,-0.000081,-0.000211,-0.010298
0.025000,-0.000003,-0.000139,-0.000377,-0.009250
0.030000,-0.000005,-0.000181,-0.000563,-0.008871
0.035000,-0.000009,-0.000231,-0.000738,-0.007773
0.040000,-0.000013,-0.000243,-0.000875,-0.006141
0.045000,-0.000017,-0.000276,-0.000953,-0.006014
0.050000,-0.000022,-0.000282,-0.000958,-0.002311
0.055000,-0.000027,-0.000300,-0.000882,-0.005114
0.060000,-0.000031,-0.000524,-0.000733,-0.013564
0.065000,-0.000034,-0.000600,-0.000523,-0.015194
0.070000,-0.000036,-0.000578,-0.000253,-0.011345
0.075000,-0.000036,-0.000638,0.000084,-0.008581
0.080000,-0.000034,-0.000321,0.000491,0.004513
0.085000,-0.000030,-0.000292,0.000958,0.004863
0.090000,-0.000024,0.000074,0.001455,0.015239
0.095000,-0.000015,0.000165,0.001938,0.013808
0.100000,-0.000004,0.000371,0.002369,0.017934
0.105000,0.000009,0.003229,0.002793,0.115894
0.110000,0.000024,0.003710,0.003164,0.112969
0.115000,0.000040,0.004380,0.003354,0.111769
0.120000,0.000057,0.004826,0.003234,0.110714
0.125000,0.000072,0.005496,0.002714,0.112738
0.130000,0.000083,0.005957,0.001757,0.113187
0.135000,0.000087,0.006638,0.000381,0.113229
0.140000,0.000084,0.007093,-0.001388,0.110712
0.145000,0.000071,0.007751,-0.003501,0.106986
0.150000,0.000046,0.008118,-0.005884,0.103342
0.155000,0.000009,0.008728,-0.008495,0.097211
0.160000,-0.000042,0.008917,-0.011283,0.089625
0.165000,-0.000107,0.009451,-0.014185,0.086153
0.170000,-0.000186,0.009785,-0.017169,0.079882
0.175000,-0.000281,0.010253,-0.020214,0.075031
0.180000,-0.000392,0.010603,-0.023328,0.073875
0.185000,-0.000518,0.011048,-0.026480,0.072553
0.190000,-0.000660,0.011471,-0.029619,0.069821
0.195000,-0.000817,0.011883,-0.032784,0.066576
0.200000,-0.000991,0.012202,-0.035980,0.065808
0.205000,-0.001180,0.001184,-0.038919,0.018321
0.210000,-0.001382,0.001250,-0.041501,0.013677
0.215000,-0.001597,0.001328,-0.043818,0.013023
0.220000,-0.001822,0.001382,-0.045952,0.012466
0.225000,-0.002058,0.001449,-0.047898,0.009653
0.230000,-0.002303,0.001478,-0.049691,0.004714
0.235000,-0.002556,0.001510,-0.051365,0.005776
0.240000,-0.002818,0.001559,-0.052929,0.005427
0.245000,-0.003087,0.001596,-0.054438,0.006457
0.250000,-0.003364,0.001459,-0.055905,-0.003367
0.255000,-0.003648,0.001431,-0.057377,-0.005923
0.260000,-0.003939,0.001181,-0.058870,-0.015883
0.265000,-0.004238,0.001078,-0.060305,-0.020536
0.270000,-0.004543,0.001071,-0.061677,-0.018029
0.275000,-0.004856,0.000954,-0.062992,-0.022711
0.280000,-0.005174,0.000894,-0.064223,-0.025835
0.285000,-0.005499,0.000729,-0.065359,-0.029988
0.290000,-0.005829,0.000610,-0.066390,-0.034076
0.295000,-0.006164,0.000400,-0.067320,-0.035560
0.300000,-0.006503,0.000156,-0.068144,-0.037887
0.305000,-0.006846,-0.010008,-0.068833,-0.059776
0.310000,-0.007191,-0.010394,-0.069362,-0.057367
0.314999,-0.007539,-0.010734,-0.069703,-0.059175
0.319999,-0.007888,-0.011040,-0.069843,-0.056910
0.324999,-0.008238,-0.011386,-0.069776,-0.056136
0.329999,-0.008586,-0.011560,-0.069505,-0.063150
0.334999,-0.008932,-0.011934,-0.069032,-0.061612
0.339999,-0.009275,-0.012214,-0.068373,-0.077962
0.344999,-0.009614,-0.012683,-0.067521,-0.079514
0.349999,-0.009949,-0.013049,-0.066480,-0.085202
0.354999,-0.010278,-0.013559,-0.065291,-0.084675
0.359999,-0.010600,-0.013938,-0.063890,-0.087515
0.364999,-0.010915,-0.014466,-0.062311,-0.091758
0.369999,-0.011221,-0.014656,-0.060509,-0.086923
0.374999,-0.011518,-0.015176,-0.058446,-0.085103
0.379999,-0.011803,-0.015498,-0.056095,-0.083643
0.384999,-0.012076,-0.015998,-0.053488,-0.082031
0.389999,-0.012335,-0.016375,-0.050594,-0.083804
0.394998,-0.012578,-0.016876,-0.047498,-0.082939
0.399998,-0.012806,-0.016826,-0.044319,-0.069723
0.404998,-0.013017,-0.009211,-0.040481,0.003652
0.409998,-0.013206,-0.009254,-0.036011,0.008248
0.414998,-0.013372,-0.009199,-0.031337,0.011669
0.419998,-0.013514,-0.009241,-0.026519,0.018845
0.424998,-0.013632,-0.009118,-0.021710,0.024613
0.429998,-0.013727,-0.008989,-0.017065,0.024432
0.434998,-0.013799,-0.008843,-0.012629,0.024834
0.439998,-0.013849,-0.008729,-0.008422,0.021482
0.444998,-0.013880,-0.008587,-0.004507,0.026809
0.449998,-0.013891,-0.008601,-0.000897,0.012394
0.454998,-0.013886,-0.008514,0.002396,0.019438
0.459998,-0.013865,-0.008425,0.005299,0.023997
0.464998,-0.013831,-0.008273,0.007830,0.028509
0.469997,-0.013785,-0.007701,0.010052,0.050584
0.474997,-0.013728,-0.007402,0.011991,0.052686
0.479997,-0.013663,-0.006865,0.013641,0.066926
0.484997,-0.013591,-0.006470,0.015059,0.066553
0.489997,-0.013512,-0.006400,0.016247,0.062995
0.494997,-0.013428,-0.006033,0.017186,0.060107
0.499997,-0.013340,-0.005625,0.017877,0.061744
0.504997,-0.013249,-0.003207,0.018351,0.091116
0.509997,-0.013156,-0.002929,0.018597,0.092037
0.514997,-0.013063,-0.002378,0.018613,0.091390
0.519997,-0.012971,-0.002033,0.018394,0.091338
0.524997,-0.012880,-0.001489,0.017955,0.088261
0.529997,-0.012792,-0.001132,0.017308,0.087044
0.534997,-0.012708,-0.000613,0.016459,0.084036
0.539997,-0.012629,-0.000273,0.015382,0.081224
0.544997,-0.012556,0.000205,0.014033,0.075907
0.549996,-0.012490,0.000537,0.012347,0.078885
0.554996,-0.012434,0.000994,0.010367,0.071798
0.559996,-0.012389,0.001397,0.008064,0.076064
0.564996,-0.012357,0.001850,0.005458,0.071942
0.569996,-0.012338,0.001871,0.002701,0.057069
0.574996,-0.012333,0.002200,-0.000284,0.049803
0.579996,-0.012344,0.002383,-0.003599,0.045819
0.584996,-0.012372,0.002652,-0.006991,0.043519
0.589996,-0.012418,0.002564,-0.010674,0.033487
0.594996,-0.012483,0.002750,-0.014508,0.025829
0.599996,-0.012567,0.002558,-0.018354,0.013422
0.604996,-0.012671,0.018417,-0.022222,0.002886
0.609996,-0.012793,0.018495,-0.025925,-0.002825
0.614996,-0.012933,0.018464,-0.029547,-0.010135
0.619996,-0.013092,0.018395,-0.033058,-0.012535
0.624996,-0.013267,0.018304,-0.036457,-0.019774
0.629995,-0.013459,0.018279,-0.039648,-0.027642
0.634995,-0.013667,0.018105,-0.042768,-0.031222
0.639995,-0.013890,0.017990,-0.045864,-0.043697
0.644995,-0.014128,0.017714,-0.048890,-0.049046
0.649995,-0.014382,0.017556,-0.051807,-0.046895
0.654995,-0.014649,0.017273,-0.054684,-0.049294
0.659995,-0.014931,0.017089,-0.057451,-0.050094
0.664995,-0.015226,0.016775,-0.060122,-0.055086
0.669995,-0.015535,0.016458,-0.062797,-0.062840
0.674995,-0.015857,0.016069,-0.065367,-0.069404
0.679995,-0.016191,0.015384,-0.067770,-0.086189
0.684995,-0.016537,0.014858,-0.069998,-0.091382
0.689995,-0.016893,0.014914,-0.072054,-0.079580
0.694995,-0.017259,0.014428,-0.073942,-0.081915
0.699995,-0.017634,0.013520,-0.075637,-0.100418
0.704994,-0.018017,0.015214,-0.077331,-0.104046
0.709994,-0.018409,0.014565,-0.079057,-0.099665
0.714994,-0.018809,0.013952,-0.080787,-0.104362
0.719994,-0.019218,0.013588,-0.082523,-0.109424
0.724994,-0.019636,0.012924,-0.084233,-0.112312
0.729994,-0.020062,0.012520,-0.085894,-0.117209
0.734994,-0.020496,0.011806,-0.087461,-0.122072
0.739994,-0.020938,0.011278,-0.088900,-0.118124
0.744994,-0.021387,0.010563,-0.090192,-0.120394
0.749994,-0.021841,0.010079,-0.091323,-0.121626
0.754994,-0.022301,0.009342,-0.092301,-0.125926
0.759994,-0.022765,0.008855,-0.093127,-0.128292
0.764994,-0.023232,0.008075,-0.093807,-0.130186
0.769994,-0.023703,0.007641,-0.094353,-0.123803
0.774994,-0.024176,0.006890,-0.094798,-0.125113
0.779994,-0.024651,0.006436,-0.095144,-0.124126
0.784993,-0.025128,0.005692,-0.095372,-0.121965
0.789993,-0.025605,0.005078,-0.095444,-0.126199
0.794993,-0.026082,0.004315,-0.095319,-0.129962
0.799993,-0.026557,0.003602,-0.094961,-0.135353
0.804993,-0.027030,0.018058,-0.094286,-0.064489
0.809993,-0.027499,0.017513,-0.093243,-0.057653
0.814993,-0.027961,0.017169,-0.091896,-0.056425
0.819993,-0.028416,0.016634,-0.090397,-0.047008
0.824993,-0.028864,0.016351,-0.088917,-0.048194
0.829993,-0.029304,0.016243,-0.087596,-0.049774
0.834993,-0.029739,0.015950,-0.086567,-0.045594
0.839993,-0.030170,0.015736,-0.085930,-0.042144
0.844993,-0.030599,0.015483,-0.085751,-0.041736
0.849993,-0.031028,0.015307,-0.086045,-0.040971
0.854993,-0.031460,0.015064,-0.086792,-0.040035
0.859993,-0.031898,0.014908,-0.087913,-0.040417
0.864992,-0.032341,0.014673,-0.089338,-0.038806
0.869992,-0.032793,0.014507,-0.090967,-0.041936
0.874992,-0.033253,0.014249,-0.092699,-0.045514
0.879992,-0.033722,0.014075,-0.094469,-0.046716
0.884992,-0.034199,0.013785,-0.096211,-0.052359
0.889992,-0.034685,0.013562,-0.097875,-0.053134
0.894992,-0.035179,0.013236,-0.099426,-0.057935
0.899992,-0.035681,0.013055,-0.100848,-0.058392
0.904992,-0.036189,0.011868,-0.102158,-0.050935
0.909992,-0.036703,0.011703,-0.103380,-0.052625
0.914992,-0.037224,0.011379,-0.104545,-0.056129
0.919992,-0.037750,0.011148,-0.105684,-0.056603
0.924992,-0.038282,0.010801,-0.106813,-0.058407
0.929992,-0.038819,0.010568,-0.107953,-0.060106
0.934992,-0.039363,0.010208,-0.109118,-0.062353
0.939991,-0.039912,0.009951,-0.110304,-0.064020
0.944991,-0.040467,0.009565,-0.111508,-0.066262
0.949991,-0.041028,0.009297,-0.112732,-0.067218
0.954991,-0.041595,0.008885,-0.113974,-0.069537
0.959991,-0.042169,0.008554,-0.115230,-0.074513
0.964991,-0.042749,0.008104,-0.116493,-0.075936
0.969991,-0.043335,0.007802,-0.117728,-0.078291
0.974991,-0.043927,0.007322,-0.118888,-0.083616
0.979991,-0.044525,0.007009,-0.119953,-0.085551
0.984991,-0.045128,0.006492,-0.120905,-0.087702
