time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000025,0.300030
0.010000,0.000045,0.300057
0.015000,0.000084,0.300105
0.020000,0.000130,0.300143
0.025000,0.000202,0.300210
0.030000,0.000237,0.300260
0.035000,0.000281,0.300344
0.040000,0.000297,0.300407
0.045000,0.000337,0.300509
0.050000,0.000356,0.300583
0.055000,0.000397,0.300704
0.060000,0.000588,0.300790
0.065000,0.000673,0.300928
0.070000,0.000675,0.301027
0.075000,0.000789,0.301183
0.080000,0.000670,0.301293
0.085000,0.000809,0.301468
0.090000,0.000896,0.301590
0.095000,0.001114,0.301782
0.100000,0.001302,0.301916
0.105000,0.224244,0.288483
0.110000,0.224370,0.288562
0.115000,0.224568,0.288686
0.120000,0.224713,0.288771
0.125000,0.224903,0.288905
0.130000,0.225012,0.288996
0.135000,0.225182,0.289139
0.140000,0.225291,0.289237
0.145000,0.225474,0.289389
0.150000,0.225605,0.289493
0.155000,0.225777,0.289654
0.160000,0.225884,0.289765
0.165000,0.226086,0.289935
0.170000,0.226223,0.290052
0.175000,0.226383,0.290232
0.180000,0.226495,0.290355
0.185000,0.226710,0.290544
0.190000,0.226861,0.290673
0.195000,0.227070,0.290871
0.200000,0.227235,0.291007
0.205000,0.004123,0.278710
0.210000,0.004657,0.278808
0.215000,0.005474,0.278957
0.220000,0.006037,0.279058
0.225000,0.006906,0.279214
0.230000,0.007499,0.279320
0.235000,0.008388,0.279482
0.240000,0.009010,0.279592
0.245000,0.009922,0.279761
0.250000,0.010448,0.279876
0.255000,0.011360,0.280051
0.260000,0.011873,0.280169
0.265000,0.012718,0.280351
0.270000,0.013309,0.280474
0.275000,0.014135,0.280662
0.280000,0.014717,0.280790
0.285000,0.015566,0.280984
0.290000,0.016129,0.281116
0.295000,0.017000,0.281317
0.300000,0.017533,0.281453
0.305000,0.076275,0.270160
0.310000,0.076841,0.270266
0.314999,0.077691,0.270429
0.319999,0.078265,0.270538
0.324999,0.079120,0.270706
